Date,Open,High,Low,Close,Adj Close,Volume
2023-05-04,8925.0,9025.0,8875.0,9000.0,8712.05078125,67565000
2023-05-05,9000.0,9050.0,8950.0,9000.0,8712.05078125,64815100
2023-05-08,9000.0,9075.0,8950.0,9000.0,8712.05078125,84754500
2023-05-09,8950.0,8975.0,8900.0,8925.0,8639.4501953125,40929600
2023-05-10,8925.0,8950.0,8900.0,8925.0,8639.4501953125,45322600
2023-05-11,8900.0,8900.0,8800.0,8825.0,8542.6494140625,81993900
2023-05-12,8750.0,8875.0,8725.0,8800.0,8518.44921875,96525600
2023-05-15,8875.0,8875.0,8725.0,8775.0,8494.2490234375,64830300
2023-05-16,8800.0,8825.0,8700.0,8700.0,8421.6484375,49497000
2023-05-17,8775.0,8850.0,8750.0,8775.0,8494.2490234375,69996100
2023-05-19,8900.0,9000.0,8825.0,9000.0,8712.05078125,123592500
2023-05-22,9000.0,9075.0,8925.0,9000.0,8712.05078125,91000000
2023-05-23,9050.0,9150.0,9025.0,9125.0,8833.0517578125,102980500
2023-05-24,9200.0,9200.0,9025.0,9025.0,8736.2509765625,77392900
2023-05-25,9100.0,9150.0,9050.0,9050.0,8760.451171875,76325700
2023-05-26,9175.0,9200.0,9100.0,9150.0,8857.2509765625,55675900
2023-05-29,9250.0,9250.0,9075.0,9150.0,8857.2509765625,79148200
2023-05-30,9200.0,9325.0,9150.0,9250.0,8954.0517578125,97189500
2023-05-31,9300.0,9325.0,9050.0,9050.0,8760.451171875,722827900
2023-06-05,9150.0,9325.0,9100.0,9200.0,8905.6513671875,163535600
2023-06-06,9050.0,9200.0,9050.0,9150.0,8857.2509765625,74872200
2023-06-07,9125.0,9175.0,9075.0,9100.0,8808.8515625,87492200
2023-06-08,9075.0,9125.0,9075.0,9125.0,8833.0517578125,53188400
2023-06-09,9175.0,9175.0,9100.0,9100.0,8808.8515625,44632400
2023-06-12,9150.0,9150.0,9100.0,9150.0,8857.2509765625,38082300
2023-06-13,9175.0,9175.0,9100.0,9150.0,8857.2509765625,45552600
2023-06-14,9100.0,9125.0,9050.0,9075.0,8784.6513671875,72223700
2023-06-15,9100.0,9100.0,9050.0,9050.0,8760.451171875,59073000
2023-06-16,9100.0,9100.0,8975.0,9050.0,8760.451171875,112769400
2023-06-19,9000.0,9050.0,9000.0,9000.0,8712.05078125,32330600
2023-06-20,9025.0,9050.0,8950.0,9050.0,8760.451171875,54990100
2023-06-21,9050.0,9125.0,9000.0,9125.0,8833.0517578125,42676300
